epoch,seed,batch_size,time,running_loss,accuracy
0,0,5,10.674545288085938,3272.9786707162857,24.4
1,0,5,21.558088302612305,2802.5919241309166,33.8
2,0,5,32.52584767341614,2618.996963262558,37.5
3,0,5,43.41208362579346,2518.8326818943024,41.4
4,0,5,54.947261333465576,2438.517838716507,39.4
5,0,5,65.76591658592224,2388.4940434098244,35.7
6,0,5,77.14953970909119,2341.8518111109734,44.4
7,0,5,88.77760672569275,2297.1858943998814,43.7
8,0,5,99.75554275512695,2263.990182340145,42.5
9,0,5,110.52158498764038,2233.3979488015175,43.6
10,0,5,121.21264553070068,2195.5634041428566,43.3
11,0,5,131.99731588363647,2159.6268458664417,44.1
12,0,5,143.16280007362366,2142.219901561737,43.9
13,0,5,153.91582250595093,2086.496209964156,46.3
14,0,5,165.48091173171997,2044.3661993592978,41.3
15,0,5,177.0077793598175,2008.3355666399002,45.1
16,0,5,188.18858122825623,1968.9981821030378,42.9
17,0,5,198.89823150634766,1901.6349148601294,43.9
18,0,5,209.8347909450531,1840.9955156743526,42.3
19,0,5,221.2533118724823,1781.0525592267513,42.5
20,0,5,232.82078909873962,1715.4811510518193,43.6
21,0,5,243.64543843269348,1653.0351939499378,39.5
22,0,5,254.4751148223877,1573.5848590284586,40.8
23,0,5,265.1485323905945,1491.5494991540909,41.5
24,0,5,275.9276373386383,1415.720038894564,39.4
